pays;iso3;pop_million_2023;%pop_moins15_2023;%Pop_60plus_2022;indice_fertilite_2023;esperance_vie_homme_2023;esperance_vie_femme_2023;Densite_2022;GDP_millionUSD_2020;part_agriculteurs_ %_2020;pop_urbaine_ %_2022;RNB_percapita_usd_2021;%scolarisation_primaire_2017;%alphabetisation_20192021;Idh_2021;age_scolarisation_attendue_2021;age_moyen_scolarisation_2021
Georgia;GEO;3,7;21;21;2,1;68;77;53,9;15,892;41,05473;60,297;16020;97,91476;99,5584411621094;0,802;15,56851959;12,82221985
Germany;DEU;83,3;14;29,7;1,5;80;84;239,2;3846,414;1,311538;77,648;60880;90,14286;;0,942;17,01013947;14,09096691
Ghana;GHA;34,1;37;5,9;3,5;62;67;147,1;68,532;39,99625;58,615;5850;85,1822;80,379997253418;0,632;12,04778004;8,329886695
Greece;GRC;10,3;14;29,4;1,4;80;84;79,4;188,835;10,63116;80,357;31160;98,22037;;0,887;20,02878952;11,40853024
Grenada;GRD;0,1;24;14,9;2;73;78;368,9;1,043;;36,868;14060;95,86628;;0,795;18,66202035;9,032104
Guadeloupe;#N/D;0,4;18;27;2;80;86;243,1;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
Guam;GUM;0,2;26;17;2,5;75;82;317,5;#N/D;0,2374406;95,091;;;;#N/D;#N/D;#N/D
Guatemala;GTM;18,1;32;7,1;2,3;67;73;166,5;77,605;30,84528;52,666;9610;85,58408;83,3499984741211;0,627;10,56245041;5,681300163
Guinea;GIN;14,2;41;5,1;4,2;58;61;56,4;15,49;59,76257;37,668;2500;;45,3300018310547;0,465;9,805297465;2,202125952
Guinea-Bissau;GNB;2,2;40;4,5;3,8;58;63;74,9;1,315;50,92699;45,041;2020;;52,8899993896484;0,483;10,61306278;3,583719
Guyana;GUY;0,8;28;9,9;2,3;66;73;4,1;5,471;12,21986;27,022;23020;;88,8499984741211;0,714;12,50272216;8,617477
Haiti;HTI;11,7;32;7,1;2,7;62;68;420,2;15,505;46,24643;58,82;3180;;;0,535;9,7;5,554
Honduras;HND;10,6;30;6,6;2,3;71;76;95,6;23,828;25,21287;59,6;5600;80,09489;88,5074310302734;0,621;10,13281417;7,088479996
Hungary;HUN;10,2;14;25,8;1,6;74;80;110,1;155,808;4,756917;72,552;35650;90,83399;99,0999984741211;0,846;15,0336281;12,24958992
Iceland;ISL;0,4;18;21;1,7;82;84;3,7;21,718;4,04321;93,992;55520;99,83367;;0,959;19,16305923;13,76716995
India;IND;1428,6;25;10,5;2;71;74;476,7;2664,749;44,30447;35,872;7220;;;0,633;11,87462044;6,655109195
Indonesia;IDN;277,5;25;10,9;2,1;69;73;144,2;1058,424;29,57159;57,934;12730;94,09782;95,9990081787109;0,705;13,74889386;8,556509972
Iran (Islamic Republic of);GMB;89,2;23;11,6;1,7;74;80;54,4;939,316;49,03005;63,852;2230;76,0989;58,060001373291;0,774;14,61524963;10,63645314
Iraq;IRQ;45,5;37;5,1;3,4;70;74;102,5;166,757;20,2741;71,354;9600;;;0,686;12,08747317;7,905593489
Ireland;IRL;5,1;19;20,5;1,8;81;85;73,5;425,889;4,48231;64,183;80870;95,78041;;0,945;18,94522095;11,58222303
Israel;ISR;9,2;28;16,1;2,9;82;85;417,6;407,101;0,9055978;92,763;43400;97,01884;;0,919;16,05088997;13,3448664
Italy;ITA;58,9;12;31;1,3;82;86;199,5;1888,709;3,983195;71,657;47590;95,65574;99,3490982055664;0,895;16,22678947;10,7401104
Jamaica;JAM;2,8;19;11,9;1,3;70;75;261,1;13,812;15,93649;57,008;10300;82,51691;;0,709;13,40492042;9,154628661
Japan;JPN;123,3;11;35,8;1,3;82;88;328,9;5057,759;3,249428;91,955;44910;;;0,925;15,22162588;13,36610034
Jordan;JOR;11,3;32;6,3;2,7;73;77;127,1;43,697;3,304796;91,827;10100;80,09353;98,4199981689453;0,72;10,64655972;10,44668007
Kazakhstan;KAZ;19,6;30;12,8;3;67;74;7,2;171,082;15,47029;57,99;25280;86,24057;99,8000030517578;0,811;15,76500034;12,34756189
Kenya;KEN;55,1;37;4,6;3,2;61;66;93;101,014;33,63792;29,002;5150;;82,620002746582;0,575;10,69855835;6,652
Kiribati;KIR;0,1;36;6,3;3,2;66;70;180,8;181;;57,058;3860;94,69278;;0,624;11,801993;7,984461822
Kuwait;KWT;4,3;20;9,3;2,1;79;83;239,6;105,949;1,998711;100;57430;85,87088;96,4575424194336;0,831;15,32443332;7,328022618
Kyrgyzstan;KGZ;6,7;34;7,9;2,9;67;76;34,6;7,736;17,22514;37,461;5060;89,88762;99,5999984741211;0,692;13,1953001;11,37410556
