PAYS;Superf;Pop;tx_natalite;tx_mortalite;pop2050;tx_mort_infantile;indice_fecond;moins15;plus65;espvie_homme;espvie_femme;RNB_hab
Honduras;112;7,8;26;5;13;24;3,1;36;4;71;76;3710
Mexique;1958;114,8;19;5;144;14;2,3;29;6;75;79;14020
Nicaragua;130;5,9;23;5;8;19;2,6;34;5;71;77;2540
Panama;76;3,6;19;5;5;17;2,4;29;7;74;79;12180
Salvador;21;6,2;20;7;8;20;2,3;33;7;67;77;6420
Antigua-et-Barbuda;0,4;0,09;14;6;0,12;14;1,8;28;7;73;78;17670
Aruba;0,2;0,11;11;8;0,1;15;1,7;19;10;73;78;
Bahamas;14;0,36;13;5;0,5;12;1,7;26;6;72;79;
Barbade;0,4;0,27;13;8;0,26;12;1,7;17;12;74;80;
Caïmans (îles);0,3;0,05;12;5;0,09;7;1,9;19;10;78;83;
Cuba;111;11,2;12;8;11;5;1,7;17;12;76;80;
Curaçao;0;0,14;13;9;0,16;9;2,1;21;12;72;80;
Dominicaine (République);49;10;22;6;12;23;2,6;31;6;69;76;8110
Dominique;0,8;0,07;15;8;0,06;16;2;27;10;73;79;8460
Grenade;0,3;0,1;19;6;0,09;13;2,2;27;7;74;78;7710
Guadeloupe;1,7;0,41;14;7;0,42;9;2,2;22;13;76;83;
Haïti;28;10,1;27;9;14;59;3,4;36;4;61;64;
Jamaïque;11;2,7;16;7;2,6;24;2,3;27;9;71;76;7230
Martinique;1,1;0,4;13;7;0,38;9;2;20;15;78;84;
Porto Rico;9;3,7;11;7;3,6;9;1,6;20;15;75;83;
Sainte Lucie;0,5;0,18;13;6;0,21;22;1,9;25;7;72;77;8860
St Vincent-et-les-Grenadines;0,4;0,11;17;7;0,11;22;2;26;7;70;75;8830
St. Kitts-et-Nevis;0,3;0,05;13;7;0,06;10;1,8;24;7;72;77;13640
Trinité-et-Tobago;5;1,3;14;8;1,3;25;1,6;25;7;67;74;24970
Vierges (Îles);0,3;0,11;12;8;0,09;10;2;20;15;76;82;
Argentine;2780;40,5;19;8;58;12;2,4;26;10;72;79;14090
Bolivie;1099;10,1;26;7;17;42;3,3;36;5;65;69;4250
Brésil;8515;196,7;15;6;223;20;1,9;25;7;70;77;10160
Chili;756;17,3;15;5;20;8;1,9;23;9;75;82;13420
Colombie;1139;46,9;18;6;53;16;2,1;29;6;70;77;8600
Équateur;284;14,7;21;5;20;19;2,5;30;6;73;79;8100
Guyana;215;0,8;22;6;0,9;38;2,7;33;4;67;73;3270
Guyane (française);90;0,24;28;3;0,6;12;3,4;35;4;73;80;
Paraguay;407;6,6;24;5;10;28;2,9;33;5;71;75;4430
Pérou;1285;29,4;21;6;39;17;2,5;31;6;71;76;8120
Surinam;164;0,5;18;7;0,6;20;2,3;28;7;68;74;6730
Uruguay;175;3,4;14;10;3,6;11;2;23;13;73;80;12900
Venezuela;912;29,3;21;5;42;16;2,5;29;6;71;77;12220
Arabie saoudite;2150;27,9;21;4;45;18;2,9;31;3;73;75;24020
Arménie;30;3,1;14;10;2,9;13;1,7;20;10;69;76;5410
Azerbaïdjan;87;9,2;17;6;11;11;2,3;22;7;71;76;9020
Bahreïn;0,7;1,3;15;2;2;7;1,9;20;2;73;78;33690
Chypre;9;1,1;13;7;1,1;7;1,6;17;10;76;81;30290
Émirats arabes unis;84;7,9;13;1;12;7;1,8;18;1;76;77;
Georgie;70;4,3;14;11;3,2;28;1,9;17;14;69;79;4700
Irak;438;32,7;35;6;83;34;4,7;43;3;66;72;3330
Israël;22;7,9;22;5;11;4;3;28;10;80;84;27010
Jordanie;89;6,6;31;4;14;23;3,8;37;3;72;74;5730
Koweït;18;2,8;19;3;5;9;2,3;26;3;74;75;
Liban;10;4,3;20;5;5;21;2,1;25;7;70;75;13400
Oman;310;3;29;3;5;12;3,3;24;2;70;76;24530
Palestine (Territoires);6;4,2;33;4;10;25;4,6;43;3;71;74;
Qatar;11;1,7;11;1;2,4;8;2,1;14;1;78;78;
Syrie;185;22,5;26;4;34;17;3,2;37;4;72;76;4620
Turquie;784;74;18;6;95;23;2,1;26;7;71;76;13500
Yémen;528;23,8;38;7;59;51;5,3;45;3;63;66;2330
